"","pcktsCount","pcktsLost","dteTime"
"184",1040.79,8.06,2017-01-15 15:00:00
"185",1178.1,6.91,2017-01-15 16:00:00
"186",860.41,5.3,2017-01-15 17:00:00
"187",817.28,7.67,2017-01-15 18:00:00
"188",837.46,7.92,2017-01-15 19:00:00
"189",907.82,11.71,2017-01-15 20:00:00
"190",1154.83,9.37,2017-01-15 21:00:00
"191",1055.1,6.97,2017-01-15 22:00:00
"192",790.02,5.3,2017-01-15 23:00:00
"193",1148.7,9.16,2017-01-16 00:00:00
"194",988.22,9.85,2017-01-16 01:00:00
"195",1029.12,6.22,2017-01-16 02:00:00
"196",1087.61,7.34,2017-01-16 03:00:00
"197",856.66,7.1,2017-01-16 04:00:00
"198",825.82,5.72,2017-01-16 05:00:00
"199",888.39,6.18,2017-01-16 06:00:00
"200",863.38,6.04,2017-01-16 07:00:00
"201",952.59,5.18,2017-01-16 08:00:00
"202",912.15,6.28,2017-01-16 09:00:00
"203",1070.26,4.04,2017-01-16 10:00:00
"204",1089.59,5.82,2017-01-16 11:00:00
"205",809.59,8.04,2017-01-16 12:00:00
"206",994.89,8.94,2017-01-16 13:00:00
"207",882.09,11.72,2017-01-16 14:00:00
"208",850.25,13.55,2017-01-16 15:00:00
"209",1067.17,7.34,2017-01-16 16:00:00
"210",1087.79,5.81,2017-01-16 17:00:00
"211",986.47,9.96,2017-01-16 18:00:00
"212",989.65,10.89,2017-01-16 19:00:00
"213",819.71,9.78,2017-01-16 20:00:00
"214",987.68,10.5,2017-01-16 21:00:00
"215",909.62,5.97,2017-01-16 22:00:00
"216",903.42,10.58,2017-01-16 23:00:00
"217",1039.01,7.61,2017-01-17 00:00:00
"218",983.67,7.59,2017-01-17 01:00:00
"219",961.37,8.86,2017-01-17 02:00:00
"220",873.32,4.13,2017-01-17 03:00:00
"221",1118.21,4.17,2017-01-17 04:00:00
"222",1149.15,3.99,2017-01-17 05:00:00
"223",1029.3,4.53,2017-01-17 06:00:00
"224",1171.86,5.19,2017-01-17 07:00:00
"225",809.51,6.23,2017-01-17 08:00:00
"226",806.91,5.33,2017-01-17 09:00:00
"227",1047.46,5.65,2017-01-17 10:00:00
"228",801.55,6.31,2017-01-17 11:00:00
"229",869.47,7.67,2017-01-17 12:00:00
"230",882.17,9.44,2017-01-17 13:00:00
"231",1055.04,6.29,2017-01-17 14:00:00
"232",854.19,8.93,2017-01-17 15:00:00
"233",984.88,6.9,2017-01-17 16:00:00
